"","mu_g_list","sigma_g_list","sigma_b_list","mu_b_list","n_train","n_test","b","phi","j","flattened_list"
"1","0, 0, 0","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, -0.2, -0.2, -0.2, 1, -0.2, -0.2, -0.2, 1","2, 1, 1",300,30000,0.3,1,300,"0, 0, 0"
"2","1, 0.5, 0.5","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, -0.2, -0.2, -0.2, 1, -0.2, -0.2, -0.2, 1","2, 1, 1",300,30000,0.3,1,300,"1, 0.5, 0.5"
"3","0, 0, 0","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, -0.2, -0.2, -0.2, 1, -0.2, -0.2, -0.2, 1","2, 1, 1",600,30000,0.3,1,300,"0, 0, 0"
"4","1, 0.5, 0.5","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, -0.2, -0.2, -0.2, 1, -0.2, -0.2, -0.2, 1","2, 1, 1",600,30000,0.3,1,300,"1, 0.5, 0.5"
"5","0, 0, 0","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, -0.2, -0.2, -0.2, 1, -0.2, -0.2, -0.2, 1","2, 1, 1",1000,30000,0.3,1,300,"0, 0, 0"
"6","1, 0.5, 0.5","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, -0.2, -0.2, -0.2, 1, -0.2, -0.2, -0.2, 1","2, 1, 1",1000,30000,0.3,1,300,"1, 0.5, 0.5"
"7","0, 0, 0","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, -0.2, -0.2, -0.2, 1, -0.2, -0.2, -0.2, 1","2, 1, 1",300,30000,0.3,1,500,"0, 0, 0"
"8","1, 0.5, 0.5","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, -0.2, -0.2, -0.2, 1, -0.2, -0.2, -0.2, 1","2, 1, 1",300,30000,0.3,1,500,"1, 0.5, 0.5"
"9","0, 0, 0","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, -0.2, -0.2, -0.2, 1, -0.2, -0.2, -0.2, 1","2, 1, 1",600,30000,0.3,1,500,"0, 0, 0"
"10","1, 0.5, 0.5","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, -0.2, -0.2, -0.2, 1, -0.2, -0.2, -0.2, 1","2, 1, 1",600,30000,0.3,1,500,"1, 0.5, 0.5"
"11","0, 0, 0","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, -0.2, -0.2, -0.2, 1, -0.2, -0.2, -0.2, 1","2, 1, 1",1000,30000,0.3,1,500,"0, 0, 0"
"12","1, 0.5, 0.5","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, -0.2, -0.2, -0.2, 1, -0.2, -0.2, -0.2, 1","2, 1, 1",1000,30000,0.3,1,500,"1, 0.5, 0.5"
