"","mu_g_list","sigma_g_list","sigma_b_list","mu_b_list","n_train","n_test","b","phi","j","alpha"
"1","1.2, 0.6, 0.6","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, -0.2, -0.2, -0.2, 1, -0.2, -0.2, -0.2, 1","2, 1, 1",300,30000,0.3,0.5,300,0.1
"2","1.5, 0.8, 0.8","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, -0.2, -0.2, -0.2, 1, -0.2, -0.2, -0.2, 1","2, 1, 1",300,30000,0.3,0.5,300,0.1
"3","1, 0.5, 0.5","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, -0.2, -0.2, -0.2, 1, -0.2, -0.2, -0.2, 1","2, 1, 1",300,30000,0.3,0.5,300,0.1
"4","1.2, 0.6, 0.6","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","2, 1, 1",300,30000,0.3,0.5,300,0.1
"5","1.5, 0.8, 0.8","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","2, 1, 1",300,30000,0.3,0.5,300,0.1
"6","1, 0.5, 0.5","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","2, 1, 1",300,30000,0.3,0.5,300,0.1
"7","1.2, 0.6, 0.6","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, -0.2, -0.2, -0.2, 1, -0.2, -0.2, -0.2, 1","2, 1, 1",300,30000,0.3,0.5,300,0.2
"8","1.5, 0.8, 0.8","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, -0.2, -0.2, -0.2, 1, -0.2, -0.2, -0.2, 1","2, 1, 1",300,30000,0.3,0.5,300,0.2
"9","1, 0.5, 0.5","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, -0.2, -0.2, -0.2, 1, -0.2, -0.2, -0.2, 1","2, 1, 1",300,30000,0.3,0.5,300,0.2
"10","1.2, 0.6, 0.6","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","2, 1, 1",300,30000,0.3,0.5,300,0.2
"11","1.5, 0.8, 0.8","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","2, 1, 1",300,30000,0.3,0.5,300,0.2
"12","1, 0.5, 0.5","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","2, 1, 1",300,30000,0.3,0.5,300,0.2
"13","1.2, 0.6, 0.6","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, -0.2, -0.2, -0.2, 1, -0.2, -0.2, -0.2, 1","2, 1, 1",300,30000,0.3,0.5,300,0.3
"14","1.5, 0.8, 0.8","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, -0.2, -0.2, -0.2, 1, -0.2, -0.2, -0.2, 1","2, 1, 1",300,30000,0.3,0.5,300,0.3
"15","1, 0.5, 0.5","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, -0.2, -0.2, -0.2, 1, -0.2, -0.2, -0.2, 1","2, 1, 1",300,30000,0.3,0.5,300,0.3
"16","1.2, 0.6, 0.6","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","2, 1, 1",300,30000,0.3,0.5,300,0.3
"17","1.5, 0.8, 0.8","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","2, 1, 1",300,30000,0.3,0.5,300,0.3
"18","1, 0.5, 0.5","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","1, 0.2, 0.2, 0.2, 1, 0.2, 0.2, 0.2, 1","2, 1, 1",300,30000,0.3,0.5,300,0.3
